"CONTEXTE";"MATRICE1";"REGION";"SECTEUR";"MOIS";"clust.num"
"2020LSAL00419";"Surveillance";"Cailles";"Pays de la Loire";"Santé et production animales";"01";302
"2020LSAL00417";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"01";31
"2020LSAL00411";"Surveillance";"Viande d'origine bovine";"DOM";"Alimentation humaine";"01";303
"2020LSAL00410";"Surveillance";"Viande d'origine bovine";"DOM";"Alimentation humaine";"01";303
"2020LSAL00197";"Surveillance";"Viande de poulet (Gallus gallus)";"Nouvelle Aquitaine";"Alimentation humaine";"01";304
"2020LSAL00188";"Surveillance";"Viande porcine";"Hauts de France";"Alimentation humaine";"01";305
"2020LSAL00178";"Surveillance";"Dindes";"Bretagne";"Santé et production animales";"01";306
"2020LSAL00177";"Surveillance";"Dindes";"Bretagne";"Santé et production animales";"01";306
"2020LSAL00176";"Surveillance";"Gallus gallus";"Nouvelle Aquitaine";"Santé et production animales";"01";307
"2020LSAL00167";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"01";308
"2020LSAL00163";"Surveillance";"Viande de canard";"Nouvelle Aquitaine";"Alimentation humaine";"01";309
"2020LSAL00152";"Surveillance";"non spécifié";"Auvergne Rhone Alpes";"Eco-système";"01";310
"2020LSAL00151";"Surveillance";"non spécifié";"Auvergne Rhone Alpes";"Eco-système";"01";310
